Median_colony_size,mean_cover,BlackMarble_2016_3km_geo.3,ID,value
13.0,6.5579637050493,15,1010101,14.0
13.0,6.5579637050493,14,1010102,17.0
13.0,6.5579637050493,15,1010103,16.0
13.0,6.5579637050493,15,1010104,17.0
13.0,6.5579637050493,15,1010105,14.0
13.0,6.5579637050493,14,1010106,16.0
13.0,6.5579637050493,15,1010107,17.0
13.0,6.5579637050493,15,1010108,14.0
13.0,6.5579637050493,14,1010109,16.0
13.0,6.5579637050493,15,1010110,14.0
13.0,6.5579637050493,15,1010111,11.0
13.0,6.5579637050493,14,1010112,12.0
13.0,6.5579637050493,15,1010113,14.0
13.0,6.5579637050493,15,1010114,16.0
13.0,6.5579637050493,15,1010115,10.0
13.0,6.5579637050493,15,1010116,10.0
13.0,6.5579637050493,14,1010117,10.0
13.0,6.5579637050493,14,1010118,10.0
13.0,20.016689912,14,1010119,9.0
13.0,20.016689912,15,1010120,4.0
13.0,20.016689912,15,1010121,10.0
13.0,20.016689912,15,1010122,10.0
13.0,20.016689912,14,1010123,4.0
13.0,20.016689912,14,1010124,10.0
13.0,20.016689912,15,1010125,7.0
13.0,20.016689912,15,1010126,10.0
13.0,20.016689912,15,1010127,4.0
13.0,20.016689912,15,1010128,3.0
13.0,20.016689912,14,1010129,8.0
13.0,20.016689912,15,1010130,7.0
13.0,20.016689912,14,1010131,9.0
13.0,20.016689912,15,1010132,11.0
13.0,20.016689912,14,1010133,7.0
13.0,20.016689912,15,1010134,5.0
13.0,20.016689912,15,1010135,11.0
13.0,20.016689912,14,1010136,7.0
13.0,20.016689912,15,1010137,10.0
13.0,20.016689912,14,1010138,12.0
13.0,20.016689912,14,1010139,12.0
13.0,20.016689912,15,1010140,6.0
13.0,20.016689912,14,1010141,10.0
13.0,20.016689912,15,1010142,12.0
13.0,20.016689912,14,1010143,12.0
13.0,20.016689912,14,1010144,5.0
13.0,20.016689912,15,1010145,10.0
13.0,20.016689912,15,1010146,10.0
13.0,20.016689912,14,1010147,11.0
13.0,20.016689912,15,1010148,10.0
13.0,20.016689912,14,1010149,10.0
13.0,20.016689912,14,1010150,12.0
13.0,20.016689912,15,1010151,8.0
13.0,20.016689912,14,1010152,6.0
13.0,20.016689912,15,1010153,12.0
13.0,20.016689912,14,1010154,11.0
13.0,20.016689912,14,1010155,12.0
13.0,20.016689912,15,1010156,10.0
13.0,6.5579637050493,15,1010157,7.0
13.0,6.5579637050493,15,1010158,8.0
13.0,6.5579637050493,14,1010159,6.0
13.0,6.5579637050493,15,1010160,6.0
13.0,6.5579637050493,15,1010161,6.0
16.0,6.5579637050493,14,1010162,5.0
16.0,6.5579637050493,15,1010163,6.0
16.0,6.5579637050493,15,1010164,5.0
16.0,6.5579637050493,15,1010165,5.0
16.0,0.056662637,15,1010166,2.0
16.0,0.056662637,15,1010167,2.0
16.0,0.056662637,13,1010168,3.0
16.0,0.056662637,15,1010169,2.0
16.0,0.056662637,14,1010170,3.0
16.0,0.056662637,14,1010171,3.0
16.0,0.056662637,15,1010172,6.0
16.0,0.056662637,16,1010173,8.0
16.0,0.056662637,15,1010174,7.0
16.0,0.056662637,14,1010175,3.0
16.0,0.11299435,13,1010176,2.0
16.0,0.11299435,24,1010177,8.0
16.0,0.056662637,15,1010178,5.0
16.0,0.908380353,15,1010179,2.0
16.0,0.11299435,15,1010180,2.0
16.0,0.11299435,26,1010181,8.0
16.0,0.056662637,12,1010182,8.0
16.0,0.908380353,14,1010183,2.0
16.0,0.11299435,15,1010184,2.0
16.0,0.11299435,14,1010185,3.0
16.0,0.908380353,17,1010186,3.0
16.0,0.908380353,15,1010187,2.0
16.0,0.11299435,15,1010188,2.0
16.0,0.11299435,15,1010189,2.0
16.0,0.11299435,12,1010190,2.0
16.0,0.908380353,15,1010191,2.0
16.0,0.11299435,15,1010192,2.0
16.0,0.11299435,15,1010193,2.0
16.0,0.214178526,14,1010194,2.0
16.0,0.214178526,15,1010195,3.0
16.0,0.214178526,14,1010196,2.0
16.0,0.214178526,14,1010197,2.0
16.0,1.290950467,15,1010198,2.0
16.0,0.214178526,22,1010199,6.0
16.0,0.214178526,21,1010200,5.0
16.0,0.214178526,14,1010201,5.0
16.0,1.290950467,14,1010202,2.0
16.0,1.290950467,9,1010203,6.0
