Region,Response,Response_level,ID,value,LwrEstimate,estimate,UprEstimate,disease_risk_change,drisk
gbr,Coral cover,65.0,gbr_4,0.0,0.0,0.275,1.0,0.0,0
gbr,Coral cover,75.0,gbr_4,0.0,0.0,0.435,1.0,0.0,0
gbr,Coral cover,85.0,gbr_4,0.0,0.0,0.5,1.0,0.0,0
gbr,Coral cover,95.0,gbr_4,0.0,0.0,0.5,1.0,0.0,0
gbr,Fish,400.0,gbr_4,0.0,0.0,0.0,0.2229999999999998,0.0,0
gbr,Fish,450.0,gbr_4,0.0,0.0,0.0,0.2049999999999997,0.0,0
gbr,Fish,500.0,gbr_4,0.0,0.0,0.5974999999999999,1.5,1.0,0
gbr,Fish,550.0,gbr_4,0.0,0.0,0.105,1.0,0.0,0
gbr,Fish,600.0,gbr_4,0.0,0.0,0.08,0.8119999999999994,-0.0,0
gbr,Fish,650.0,gbr_4,0.0,0.0,0.1125,0.7189999999999994,0.0,0
gbr,Fish,700.0,gbr_4,0.0,0.0,0.26,0.902,0.0,0
gbr,Fish,750.0,gbr_4,0.0,0.0,0.33,1.0,0.0,0
gbr,Fish,800.0,gbr_4,0.0,0.0,0.33,1.0,0.0,0
gbr,Turbidity,0.0,gbr_4,0.0,0.2,0.71,1.25,1.0,0
gbr,Turbidity,0.1,gbr_4,0.0,0.0,0.12,1.0119999999999991,0.0,0
gbr,Turbidity,0.2,gbr_4,0.0,0.25,0.75,1.211999999999988,1.0,0
gbr,Turbidity,0.3,gbr_4,0.0,0.0,0.5,1.0,0.0,0
gbr,Turbidity,0.4,gbr_4,0.0,0.0,0.4775,1.0,0.0,0
gbr,Turbidity,0.5,gbr_4,0.0,0.0,0.5,1.0,0.0,0
gbr,Turbidity,0.6,gbr_4,0.0,0.0,0.5,1.0,0.0,0
gbr,Turbidity,0.7,gbr_4,0.0,0.0,0.5,1.0,0.0,0
gbr,Turbidity,0.8,gbr_4,0.0,0.0,0.5,1.090999999999955,0.0,0
gbr,Turbidity,0.9,gbr_4,0.0,0.0,0.5,1.090999999999955,0.0,0
gbr,Turbidity,1.0,gbr_4,0.0,0.0,0.5,1.090999999999955,0.0,0
