"PolygonID","PixelID"
"gbr_129",1003895
"gbr_129",1003922
"gbr_129",1003974
"gbr_129",1004002
"gbr_129",1004240
"gbr_129",1003831
"gbr_129",1003860
"gbr_129",1003921
"gbr_129",1004261
"gbr_129",1003830
"gbr_129",1003859
"gbr_129",1003920
"gbr_129",1004212
"gbr_129",1004239
"gbr_129",1004358
"gbr_129",1003829
"gbr_129",1003858
"gbr_129",1004211
"gbr_129",1004238
"gbr_129",1004259
"gbr_129",1004280
"gbr_129",1003828
"gbr_129",1003893
"gbr_129",1003971
"gbr_129",1003999
"gbr_129",1004022
"gbr_129",1004381
"gbr_129",1004404
"gbr_129",1003857
"gbr_129",1003892
"gbr_129",1003948
"gbr_129",1003970
"gbr_129",1003998
"gbr_129",1004021
"gbr_129",1004155
"gbr_129",1004180
"gbr_129",1004300
"gbr_129",1004403
"gbr_129",1003997
"gbr_129",1004037
"gbr_129",1004210
"gbr_129",1004237
"gbr_129",1004258
"gbr_129",1004279
"gbr_129",1004427
"gbr_129",1004055
"gbr_129",1004179
"gbr_129",1004209
"gbr_129",1004054
"gbr_129",1004178
"gbr_129",1004208
"gbr_129",1004235
"gbr_129",1004256
"gbr_129",1004377
"gbr_129",1004154
"gbr_129",1004177
"gbr_129",1004207
"gbr_129",1004353
"gbr_129",1004376
"gbr_129",1004399
"gbr_129",1004153
"gbr_129",1004176
"gbr_129",1004206
"gbr_129",1004398
"gbr_129",1004424
"gbr_129",1004071
"gbr_129",1004423
"gbr_129",1004451
"gbr_129",1004529
"gbr_129",1004070
"gbr_129",1004087
"gbr_129",1004474
"gbr_129",1004086
"gbr_129",1004500
"gbr_129",1004085
"gbr_129",1004104
"gbr_129",1004526
"gbr_129",1004121
"gbr_129",1004175
"gbr_129",1004551
"gbr_129",1004120
"gbr_129",1004174
"gbr_129",1004205
"gbr_129",1004234
"gbr_129",1004255
"gbr_129",1004136
"gbr_129",1004233
"gbr_129",1004254
"gbr_129",1004298
"gbr_129",1004297
"gbr_129",1004328
"gbr_129",1004327
"gbr_129",1004694
"gbr_129",1004721
"gbr_129",1004739
"gbr_129",1004753
"gbr_129",1004784
"gbr_129",1004783
"gbr_130",1004522
"gbr_130",1004548
"gbr_130",1004521
"gbr_130",1004547
"gbr_131",1004199
"gbr_131",1004227
"gbr_131",1004250
"gbr_131",1004275
"gbr_131",1004294
"gbr_131",1004198
"gbr_131",1004226
"gbr_131",1004249
"gbr_131",1004274
"gbr_131",1004293
"gbr_131",1004321
"gbr_131",1004197
"gbr_131",1004225
"gbr_131",1004292
"gbr_131",1004320
"gbr_131",1004196
"gbr_131",1004224
"gbr_131",1004195
"gbr_131",1004223
"gbr_131",1004248
"gbr_131",1004291
"gbr_131",1004222
"gbr_131",1004247
"gbr_131",1004273
"gbr_132",1004469
"gbr_133",1003123
"gbr_133",1003146
"gbr_133",1003122
"gbr_133",1003145
"gbr_134",1003558
"gbr_135",1003444
"gbr_135",1003461
"gbr_136",1003444
"gbr_137",1003583
